name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides uniformis	820	S	1112705	1081692	2194397	0.12561
Bacteroides cellulosilyticus	246787	S	752612	514510	1267122	0.07253
Bacteroides thetaiotaomicron	818	S	663928	140290	804218	0.04604
Bacteroides fragilis	817	S	506176	460723	966899	0.05535
Bacteroides sp. HF-162	2785531	S	12271	127476	139747	0.00800
Bacteroides sp. CACC 737	2755405	S	8911	45167	54078	0.00310
Bacteroides sp. A1C1	2528203	S	3452	22397	25849	0.00148
Bacteroides sp. DH3716P	2847299	S	179	2369	2548	0.00015
Bacteroides sp. PHL 2737	2162637	S	131	56293	56424	0.00323
Bacteroides sp. BFG-257	2972761	S	128	11456	11584	0.00066
Bacteroides sp. CG01	3096000	S	113	39	152	0.00001
Bacteroides sp. M10	2763022	S	36	44	80	0.00000
Bacteroides sp. D2	556259	S	35	72	107	0.00001
Bacteroides sp. KFT8	2025659	S	23	41	64	0.00000
Bacteroides sp. KG123	3369153	S	12	2956	2968	0.00017
Bacteroides xylanisolvens	371601	S	32430	200822	233252	0.01335
Bacteroides maternus	3117552	S	30556	15953	46509	0.00266
Bacteroides eggerthii	28111	S	15059	3526	18585	0.00106
Bacteroides hominis	2763023	S	12940	104392	117332	0.00672
Bacteroides intestinalis	329854	S	8527	1485	10012	0.00057
Bacteroides stercoris	46506	S	7429	2298	9727	0.00056
Bacteroides faecis	674529	S	3831	1179	5010	0.00029
Bacteroides zhangwenhongii	2650157	S	3766	5232	8998	0.00052
Bacteroides humanifaecis	2792859	S	2351	20791	23142	0.00132
Bacteroides salyersiae	291644	S	2337	212	2549	0.00015
Bacteroides caecimuris	1796613	S	1978	1003	2981	0.00017
Bacteroides ovatus	28116	S	1974	6600	8574	0.00049
Bacteroides caccae	47678	S	553	464	1017	0.00006
Bacteroides finegoldii	338188	S	266	337	603	0.00003
Bacteroides helcogenes	290053	S	260	9	269	0.00002
Bacteroides faecium	2715212	S	226	19	245	0.00001
Bacteroides difficilis	2763021	S	203	294	497	0.00003
Bacteroides zoogleoformans	28119	S	97	18	115	0.00001
Bacteroides pyogenes	310300	S	83	4	87	0.00000
Bacteroides nordii	291645	S	77	25	102	0.00001
Bacteroides graminisolvens	477666	S	45	0	45	0.00000
Bacteroides heparinolyticus	28113	S	41	12	53	0.00000
Bacteroides luhongzhouii	2650158	S	29	12	41	0.00000
uncultured Bacteroides sp.	162156	S	12	0	12	0.00000
Phocaeicola vulgatus	821	S	983541	732335	1715876	0.09822
Phocaeicola dorei	357276	S	23132	18907	42039	0.00241
Phocaeicola salanitronis	376805	S	639	32	671	0.00004
Phocaeicola coprophilus	387090	S	623	126	749	0.00004
Parabacteroides distasonis	823	S	720569	1981873	2702442	0.15470
Parabacteroides goldsteinii	328812	S	2733	392	3125	0.00018
Parabacteroides absconsus	2951805	S	1986	170	2156	0.00012
Parabacteroides merdae	46503	S	1050	432	1482	0.00008
Parabacteroides sp. CT06	2025876	S	484	40045	40529	0.00232
Parabacteroides sp. ASD2025	3415987	S	112	24	136	0.00001
Parabacteroides johnsonii	387661	S	212	78	290	0.00002
Parabacteroides faecis	1217282	S	73	16	89	0.00001
Parabacteroides chongii	2685834	S	51	11	62	0.00000
Tannerella serpentiformis	712710	S	26	0	26	0.00000
Alistipes putredinis	28117	S	798712	156285	954997	0.05467
Alistipes onderdonkii	328813	S	318163	65794	383957	0.02198
Alistipes shahii	328814	S	234989	142496	377485	0.02161
Alistipes finegoldii	214856	S	198126	72671	270797	0.01550
Alistipes ihumii	1470347	S	37062	695	37757	0.00216
Alistipes communis	2585118	S	34574	3232	37806	0.00216
uncultured Alistipes sp.	538949	S	3770	328	4098	0.00023
Alistipes senegalensis	1288121	S	2592	385	2977	0.00017
Alistipes sp. i18-0019-D1	3132707	S	1931	630	2561	0.00015
Alistipes sp. dk3624	2662363	S	43	1	44	0.00000
Alistipes dispar	2585119	S	487	55	542	0.00003
Alistipes megaguti	2364787	S	279	35	314	0.00002
Alistipes indistinctus	626932	S	140	7	147	0.00001
Butyricimonas faecihominis	1472416	S	109642	60976	170618	0.00977
Butyricimonas paravirosa	1472417	S	26567	16520	43087	0.00247
Butyricimonas virosa	544645	S	8293	2371	10664	0.00061
Butyricimonas faecalis	2093856	S	2840	849	3689	0.00021
Odoribacter splanchnicus	28118	S	1289	492	1781	0.00010
Barnesiella intestinihominis	487174	S	42215	1586	43801	0.00251
Barnesiella sp. An22	1965590	S	6842	717	7559	0.00043
Barnesiella viscericola	397865	S	843	105	948	0.00005
Coprobacter fastidiosus	1099853	S	22599	570	23169	0.00133
Coprobacter secundus	1501392	S	2248	197	2445	0.00014
Paraprevotella clara	454154	S	24239	1632	25871	0.00148
Paraprevotella xylaniphila	454155	S	43	5	48	0.00000
Segatella copri	165179	S	667	147	814	0.00005
Segatella hominis	2518605	S	23	17	40	0.00000
Segatella oris	28135	S	10	1	11	0.00000
Prevotella intermedia	28131	S	152	59	211	0.00001
Prevotella corporis	28128	S	72	10	82	0.00000
Prevotella jejuni	1177574	S	50	24	74	0.00000
Prevotella sp. E9-3	2913621	S	24	4	28	0.00000
Prevotella melaninogenica	28132	S	14	5	19	0.00000
Prevotella multiformis	282402	S	12	6	18	0.00000
Prevotella nigrescens	28133	S	10	4	14	0.00000
Muribaculum gordoncarteri	2530390	S	3820	110	3930	0.00022
Muribaculum intestinale	1796646	S	748	15	763	0.00004
Sodaliphilus pleomorphus	2606626	S	159	4	163	0.00001
Duncaniella dubosii	2518971	S	94	2	96	0.00001
Dysgonomonas sp. HDW5B	2714927	S	50	0	50	0.00000
Petrimonas mucosa	1642646	S	18	3	21	0.00000
Porphyromonas gingivalis	837	S	53	565	618	0.00004
Porphyromonas asaccharolytica	28123	S	11	0	11	0.00000
Candidatus Azobacteroides pseudotrichonymphae	511435	S	11	0	11	0.00000
Maribellus comscasis	2681766	S	34	0	34	0.00000
uncultured Draconibacterium sp.	1573823	S	17	0	17	0.00000
Flavobacterium haoranii	683124	S	42	10	52	0.00000
Capnocytophaga canimorsus	28188	S	52	2	54	0.00000
Polaribacter vadi	1774273	S	53	4	57	0.00000
Flagellimonas lutaonensis	516051	S	17	0	17	0.00000
Seonamhaeicola sp. ML3	2937786	S	21	0	21	0.00000
Chryseobacterium scophthalmum	59733	S	43	173	216	0.00001
Hymenobacter sedentarius	1411621	S	59	20	79	0.00000
Hymenobacter volaticus	2932254	S	20	3	23	0.00000
Hymenobacter baengnokdamensis	2615203	S	11	18	29	0.00000
Pontibacter actiniarum	323450	S	89	2	91	0.00001
Pontibacter kalidii	2592049	S	50	1	51	0.00000
Adhaeribacter radiodurans	2745197	S	45	0	45	0.00000
Flammeovirga sp. MY04	1191459	S	13	0	13	0.00000
Sphingobacterium spiritivorum	258	S	10	2	12	0.00000
Pedobacter heparinus	984	S	11	1	12	0.00000
Mycovorax composti	2962693	S	16	1	17	0.00000
Candidatus Sulfidibacterium hydrothermale	2875962	S	25	0	25	0.00000
Phaeodactylibacter xiamenensis	1524460	S	16	0	16	0.00000
Prosthecochloris sp. CIB 2401	1868325	S	13	1	14	0.00000
Escherichia coli	562	S	75640	898468	974108	0.05576
Escherichia albertii	208962	S	240	159	399	0.00002
Escherichia fergusonii	564	S	137	121	258	0.00001
Escherichia marmotae	1499973	S	93	44	137	0.00001
Escherichia sp. E4742	2044467	S	76	54	130	0.00001
Shigella flexneri	623	S	172	23449	23621	0.00135
Shigella boydii	621	S	62	1657	1719	0.00010
Shigella dysenteriae	622	S	40	453	493	0.00003
Klebsiella aerogenes	548	S	91	22	113	0.00001
Klebsiella pneumoniae	573	S	31	1307	1338	0.00008
Klebsiella oxytoca	571	S	35	7	42	0.00000
Klebsiella michiganensis	1134687	S	27	31	58	0.00000
Raoultella terrigena	577	S	12	17	29	0.00000
Enterobacter cloacae	550	S	25	21	46	0.00000
Enterobacter hormaechei	158836	S	15	312	327	0.00002
Citrobacter werkmanii	67827	S	20	30	50	0.00000
Citrobacter cronae	1748967	S	11	104	115	0.00001
Citrobacter sp. R56	1573676	S	13	3	16	0.00000
Salmonella enterica	28901	S	47	3482	3529	0.00020
Cedecea lapagei	158823	S	45	4	49	0.00000
Kosakonia radicincitans	283686	S	28	14	42	0.00000
Scandinavium goeteborgense	1851514	S	26	2	28	0.00000
Pantoea agglomerans	549	S	376	39	415	0.00002
Pantoea sp. Lij88	3028622	S	22	3	25	0.00000
Pantoea cypripedii	55209	S	11	0	11	0.00000
Erwinia amylovora	552	S	13	13	26	0.00000
Buchnera aphidicola	9	S	10	0	10	0.00000
Dickeya solani	1089444	S	15	3	18	0.00000
Dickeya oryzae	1240404	S	11	10	21	0.00000
Xenorhabdus doucetiae	351671	S	25	1	26	0.00000
Morganella morganii	582	S	23	0	23	0.00000
Edwardsiella tarda	636	S	11	2	13	0.00000
Pseudomonas aeruginosa	287	S	236	297	533	0.00003
Pseudomonas sp. Os17	1500686	S	14	14	28	0.00000
Pseudomonas sp. MM227	3019968	S	12	0	12	0.00000
Pseudomonas sp. MPB03	3388489	S	12	3	15	0.00000
Pseudomonas putida	303	S	28	14	42	0.00000
Pseudomonas fluorescens	294	S	17	6	23	0.00000
Halopseudomonas sp. SMJS2	3041098	S	12	3	15	0.00000
Metapseudomonas lalkuanensis	2604832	S	10	5	15	0.00000
Halomonas sp. GD1P12	2982691	S	42	45	87	0.00000
Halomonas sp. BM-2019	2811227	S	14	1	15	0.00000
Halomonas kashgarensis	3084920	S	27	1	28	0.00000
Marinobacterium iners	48076	S	16	0	16	0.00000
Aeromonas media	651	S	26	4	30	0.00000
Aeromonas sp. FDAARGOS 1403	2778052	S	12	16	28	0.00000
Acinetobacter pittii	48296	S	10	6	16	0.00000
Acinetobacter thermotolerans	3151487	S	17	1	18	0.00000
Faucicola osloensis	34062	S	41	2	43	0.00000
Moraxella catarrhalis	480	S	21	1	22	0.00000
Moraxella bovoculi	386891	S	11	0	11	0.00000
Psychrobacter arcticus	334543	S	16	0	16	0.00000
Vibrio kanaloae	170673	S	21	15	36	0.00000
Grimontia sp. NTOU-MAR1	3111011	S	21	0	21	0.00000
Candidatus Thiodictyon syntrophicum	1166950	S	91	1	92	0.00001
Stenotrophomonas maltophilia	40324	S	13	29	42	0.00000
Salinimonas sediminis	2303538	S	23	0	23	0.00000
Thalassomonas viridans	137584	S	17	0	17	0.00000
Microbulbifer sp. SAOS-129_SWC	3145235	S	14	1	15	0.00000
Microbulbifer thermotolerans	252514	S	10	0	10	0.00000
Saccharophagus degradans	86304	S	16	0	16	0.00000
Teredinibacter turnerae	2426	S	12	0	12	0.00000
Frederiksenia canicola	123824	S	16	0	16	0.00000
Sinimarinibacterium sp. NLF-5-8	2698684	S	14	0	14	0.00000
Turicimonas muris	1796652	S	893	393	1286	0.00007
Duodenibacillus massiliensis	1852381	S	43	56	99	0.00001
Sutterella wadsworthensis	40545	S	12	12	24	0.00000
Paraburkholderia bonniea	2152891	S	11	55	66	0.00000
Polynucleobacter wuianus	1743168	S	18	7	25	0.00000
Polynucleobacter sp. MWH-UH35A	1855619	S	14	4	18	0.00000
Ralstonia mannitolilytica	105219	S	16	36	52	0.00000
Ralstonia pickettii	329	S	15	32	47	0.00000
Cupriavidus sp. EM10	2839983	S	19	28	47	0.00000
Limnobacter sp.	2003368	S	19	4	23	0.00000
Pandoraea thiooxydans	445709	S	10	8	18	0.00000
Comamonas thiooxydans	363952	S	25	67	92	0.00001
Hydrogenophaga taeniospiralis	65656	S	36	58	94	0.00001
Alicycliphilus denitrificans	179636	S	29	93	122	0.00001
Rugamonas sp. DEMB1	3039386	S	41	62	103	0.00001
Duganella sp. P38	3423949	S	35	43	78	0.00000
Massilia sp. WG5	1707785	S	15	19	34	0.00000
Massilia sp. PAMC28688	2861283	S	10	7	17	0.00000
Achromobacter spanius	217203	S	18	34	52	0.00000
Pusillimonas sp. T7-7	1007105	S	13	4	17	0.00000
Roseateles sp. So40a	3400226	S	41	75	116	0.00001
Vitreoscilla filiformis	63	S	43	131	174	0.00001
Vogesella sp. LIG4	1192162	S	12	20	32	0.00000
Silvimonas soli	2980100	S	14	8	22	0.00000
Deefgea tanakiae	2865840	S	12	4	16	0.00000
Candidatus Nitrotoga arctica	453162	S	30	11	41	0.00000
Methylophilus sp. TWE2	1662285	S	13	6	19	0.00000
Sulfuricystis multivorans	2211108	S	17	28	45	0.00000
Rhizobium sp. 11515TR	2028343	S	23	58	81	0.00000
Agrobacterium larrymoorei	160699	S	39	28	67	0.00000
Shinella zoogloeoides	352475	S	26	86	112	0.00001
Ciceribacter thiooxidans	1969821	S	17	11	28	0.00000
Bradyrhizobium sp. WD16	1521768	S	22	19	41	0.00000
Bradyrhizobium cosmicum	1404864	S	11	30	41	0.00000
Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1	2493669	S	28	61	89	0.00001
Mesorhizobium sp. NBSH29	2654249	S	12	6	18	0.00000
Roseibium aggregatum	187304	S	14	30	44	0.00000
Labrenzia sp. THAF35	2587854	S	19	53	72	0.00000
Devosia sp.	1871048	S	12	6	18	0.00000
uncultured Pleomorphomonas sp.	442121	S	10	11	21	0.00000
Paracoccus zhejiangensis	1077935	S	11	20	31	0.00000
Cognatishimia activa	1715691	S	18	6	24	0.00000
Limimaricola sp. AA108-03	3425945	S	10	11	21	0.00000
Gluconobacter roseus	586239	S	39	16	55	0.00000
Gluconobacter sphaericus	574987	S	31	9	40	0.00000
Asaia bogorensis	91915	S	37	10	47	0.00000
Acetobacter persici	1076596	S	11	1	12	0.00000
Lichenicoccus sp.	2781899	S	10	4	14	0.00000
Novosphingobium sp.	1874826	S	19	32	51	0.00000
Hyphococcus formosus	3143534	S	10	1	11	0.00000
Bilophila wadsworthia	35833	S	133378	1370	134748	0.00771
Desulfovibrio piger	901	S	1369	42	1411	0.00008
Desulfovibrio aminophilus	81425	S	38	3	41	0.00000
Maridesulfovibrio sp. FT414	2979469	S	21	0	21	0.00000
Maridesulfovibrio sp.	2795000	S	17	5	22	0.00000
Desulfolutivibrio sulfodismutans	63561	S	19	0	19	0.00000
uncultured Mailhella sp.	1981031	S	16	0	16	0.00000
Halodesulfovibrio aestuarii	126333	S	14	0	14	0.00000
Solidesulfovibrio magneticus	184917	S	11	0	11	0.00000
Oceanidesulfovibrio marinus	370038	S	11	0	11	0.00000
Thermodesulfomicrobium sp. WS	3004129	S	10	0	10	0.00000
Syntrophotalea carbinolica	19	S	20	1	21	0.00000
Geoalkalibacter subterraneus	483547	S	14	2	16	0.00000
Geobacter sulfurreducens	35554	S	10	6	16	0.00000
Desulfofustis limnaeus	2740163	S	39	1	40	0.00000
Desulfolithobacter dissulfuricans	2795293	S	10	0	10	0.00000
Desulfosarcina alkanivorans	571177	S	21	0	21	0.00000
Syntrophobacter fumaroxidans	119484	S	17	0	17	0.00000
Campylobacter curvus	200	S	415	4	419	0.00002
Campylobacter concisus	199	S	23	0	23	0.00000
Campylobacter jejuni	197	S	16	20	36	0.00000
Campylobacter coli	195	S	13	1	14	0.00000
Sulfurovum lithotrophicum	206403	S	21	0	21	0.00000
Sulfurimonas sp. HSL-1656	3131934	S	13	2	15	0.00000
Akkermansia muciniphila	239935	S	100	28	128	0.00001
Actomonas aquatica	2866162	S	38	0	38	0.00000
Lacunisphaera limnophila	1838286	S	21	0	21	0.00000
Botrimarina mediterranea	2528022	S	30	1	31	0.00000
Stieleria bergensis	2528025	S	10	0	10	0.00000
Calycomorphotria hydatis	2528027	S	15	0	15	0.00000
Treponema primitia	88058	S	25	2	27	0.00000
Treponema sp. OMZ 857	1643513	S	10	33	43	0.00000
Treponema denticola	158	S	15	44	59	0.00000
Treponema peruense	2787628	S	12	0	12	0.00000
Salinispira pacifica	1307761	S	25	1	26	0.00000
Myxococcus sp. SDU36	2831967	S	10	6	16	0.00000
Tunturiibacter lichenicola	2051959	S	13	0	13	0.00000
Edaphobacter sp. 4G125	2763071	S	10	0	10	0.00000
Bdellovibrio bacteriovorus	959	S	14	0	14	0.00000
Faecalibacterium prausnitzii	853	S	271214	339107	610321	0.03494
Faecalibacterium duncaniae	411483	S	77719	401954	479673	0.02746
Faecalibacterium sp. I2-3-92	2929490	S	16911	87600	104511	0.00598
Faecalibacterium sp. IP-3-29	2929489	S	12387	60603	72990	0.00418
Faecalibacterium sp. i21-0019-B1	3141184	S	6618	37445	44063	0.00252
Faecalibacterium sp. I4-1-79	2929494	S	4568	8840	13408	0.00077
Faecalibacterium sp. i25-0019-C1	3141185	S	4369	42856	47225	0.00270
Faecalibacterium sp. I4-3-84	2929495	S	3567	13191	16758	0.00096
Faecalibacterium sp. I3-3-89	2929493	S	1893	1435	3328	0.00019
Faecalibacterium sp. I3-3-33	2929492	S	1774	2444	4218	0.00024
Faecalibacterium sp. 7	3402017	S	1746	7498	9244	0.00053
Faecalibacterium sp. IP-1-18	2929488	S	1561	20661	22222	0.00127
Faecalibacterium hominis (ex Afrizal et al. 2022)	2881265	S	14281	62131	76412	0.00437
Faecalibacterium taiwanense	3030638	S	9545	68941	78486	0.00449
